No,PMX,PMX_en,Humanoid,VRM,Level
1,操作中心,-,-,-,0
2,全ての親,master,RootBone,root,0
3,センター,center,-,-,0
4,センター先,-,-,-,0
5,グルーブ,-,-,-,0
6,腰,waist,-,-,0
7,上半身,upper body,Spine,spine,0
8,上半身2,upper body2,Chest,chest,0
9,上半身先,-,-,-,0
10,下半身,lower body,Hips,hips,0
11,下半身2,lower body2,-,-,0
12,下半身先,-,-,-,0
13,首,Neck,Neck,neck,0
14,頭,head,Head,head,0
15,頭先,Head_Tip,Head_Tip,-,0
16,両目,eyes,Eyes,-,0
17,両目先,Eyes_Tip,Eyes_Tip,-,0
18,左目,eye_L,EyeLeft,leftEye,0
19,左目先,EyeLeft_Tip,EyeLeft_Tip,-,0
20,右目,eye_R,EyeRight,rightEye,0
21,右目先,EyeRight_Tip,EyeRight_Tip,-,0
22,口,jaw,-,jaw,0
23,左肩,shoulder_L,Shoulder.L,leftShoulder,0
24,左鎖骨,Collarbone_L,Collarbone.L,-,0
25,左鎖骨先,Collarbone_Tip_L,Collarbone_.L,-,0
26,左鎖骨D先,Collarbone_D_L,Collarbone_Tip.L,-,0
27,左鎖骨ＩＫ,Collarbone IK_L,Collarbone_IK.L,-,0
28,左腕,Upper Arm_L,Upper Arm.L,leftUpperArm,0
29,左腕捩,arm twist_L,Upper Arm twist.L,-,0
30,左腕捩先,Upper Arm twist_Tip_L,Upper Arm twist_Tip.L,-,0
31,左腕捩1,Upper Arm twist1_L,Upper Arm twist1.L,-,0
32,左腕捩2,Upper Arm twist2_L,Upper Arm twist2.L,-,0
33,左腕捩3,Upper Arm twist3_L,Upper Arm twist3.L,-,0
34,左ひじ,Lower Arm_L,Lower Arm.L,leftLowerArm,0
35,左手捩,wrist twist_L,Lower Arm twist.L,-,0
36,左手捩先,Lower Arm twist_Tip_L,Lower Arm twist_Tip.L,-,0
37,左手捩1,Lower Arm twist1_L,Lower Arm twist1.L,-,0
38,左手捩2,Lower Arm twist2_L,Lower Arm twist2.L,-,0
39,左手捩3,Lower Arm twist3_L,Lower Arm twist3.L,-,0
40,左手首,Hand_L,Hand.L,leftHand,0
41,左手先,wrist_Tip_L,Hand_Tip.L,-,0
42,左親指０,Thumb Proximal_L,Thumb Proximal.L,leftThumbProximal,0
43,左親指１,Thumb Intermediate_L,Thumb Intermediate.L,leftThumbIntermediate,0
44,左親指２,Thumb Distal_L,Thumb Distal.L,leftThumbDistal,0
45,左親指先,thumb_Tip_L,Thumb End.L,-,0
46,左人指０,Index Root_L,Index Root.L,-,0
47,左人指１,Index Proximal_L,Index Proximal.L,leftIndexProximal,0
48,左人指２,Index Intermediate_L,Index Intermediate.L,leftIndexIntermediate,0
49,左人指３,Index Distal_L,Index Distal.L,leftIndexDistal,0
50,左人差指先,fore_Tip_L,Index End.L,-,0
51,左中指０,Middle Root_L,Middle Root.L,-,0
52,左中指１,Middle Proximal_L,Middle Proximal.L,leftMiddleProximal,0
53,左中指２,Middle Intermediate_L,Middle Intermediate.L,leftMiddleIntermediate,0
54,左中指３,Middle Distal_L,Middle Distal.L,leftMiddleDistal,0
55,左中指先,middle_Tip_L,Middle End.L,-,0
56,左薬指０,Ring Root_L,Ring Root.L,-,0
57,左薬指１,Ring Proximal_L,Ring Proximal.L,leftRingProximal,0
58,左薬指２,Ring Intermediate_L,Ring Intermediate.L,leftRingIntermediate,0
59,左薬指３,Ring Distal_L,Ring Distal.L,leftRingDistal,0
60,左薬指先,third_Tip_L,Ring End.L,-,0
61,左小指０,Little Root_L,Little Root.L,-,0
62,左小指１,Little Proximal_L,Little Proximal.L,leftLittleProximal,0
63,左小指２,Little Intermediate_L,Little Intermediate.L,leftLittleIntermediate,0
64,左小指３,Little Distal_L,Little Distal.L,leftLittleDistal,0
65,左小指先,Little End_L,Little End.L,-,0
66,右肩,shoulder_R,Shoulder.R,rightShoulder,0
67,右鎖骨,Collarbone_R,Collarbone.R,-,0
68,右鎖骨先,Collarbone_Tip_R,Collarbone_.R,-,0
69,右鎖骨D先,Collarbone_D_R,Collarbone_Tip.R,-,0
70,右鎖骨ＩＫ,Collarbone IK_R,Collarbone_IK.R,-,0
71,右腕,Upper Arm_R,Upper Arm.R,rightUpperArm,0
72,右腕捩,arm twist_R,Upper Arm twist.R,-,0
73,右腕捩先,Upper Arm twist_Tip_R,Upper Arm twist_Tip.R,-,0
74,右腕捩1,Upper Arm twist1_R,Upper Arm twist1.R,-,0
75,右腕捩2,Upper Arm twist2_R,Upper Arm twist2.R,-,0
